,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,HUMBLE.,"Kendrick Lamar",2467493,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
2,"I'm the One","DJ Khaled",2378884,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
3,"Despacito - Remix","Luis Fonsi",1708718,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
4,DNA.,"Kendrick Lamar",1586491,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
5,"Mask Off",Future,1430058,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
6,"XO TOUR Llif3","Lil Uzi Vert",1427178,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
7,"iSpy (feat. Lil Yachty)",KYLE,1051855,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
8,"LOVE. FEAT. ZACARI.","Kendrick Lamar",1041876,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
9,Passionfruit,Drake,1025578,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
10,ELEMENT.,"Kendrick Lamar",987422,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
11,"That's What I Like","Bruno Mars",987403,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
12,"Shape of You","Ed Sheeran",927095,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
13,Location,Khalid,916507,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
14,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",916261,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
15,"Stay (with Alessia Cara)",Zedd,911658,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
16,"Tunnel Vision","Kodak Black",817820,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
17,Congratulations,"Post Malone",797668,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
18,Portland,Drake,779394,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
19,"It Ain't Me (with Selena Gomez)",Kygo,758188,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
20,"Something Just Like This","The Chainsmokers",753692,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
21,Unforgettable,"French Montana",745500,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
22,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",740583,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
23,Issues,"Julia Michaels",675663,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
24,goosebumps,"Travis Scott",671196,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
25,"XXX. FEAT. U2.","Kendrick Lamar",644840,https://open.spotify.com/track/4iYRa2btalAzPZoSYfROqF
26,"Body Like A Back Road","Sam Hunt",638788,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
27,1-800-273-8255,Logic,632340,https://open.spotify.com/track/4Sj8JZ9zZfl8HaOav5yTVq
28,"do re mi",blackbear,600355,https://open.spotify.com/track/6CUBgX8bXC5YQCkdgRHqyg
29,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",575425,https://open.spotify.com/track/3LnOF5n1GOs01siYZXzS3p
30,"There's Nothing Holdin' Me Back","Shawn Mendes",573005,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
31,"Bounce Back","Big Sean",571465,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
32,"Now Or Never",Halsey,571455,https://open.spotify.com/track/1mDGDb2fUmUMdqV3tb8VKQ
33,YAH.,"Kendrick Lamar",566114,https://open.spotify.com/track/4BHSjbYylfOH5WAGusDyni
34,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,553353,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
35,T-Shirt,Migos,542337,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
36,"Look At Me!",XXXTENTACION,529828,https://open.spotify.com/track/7floNISpH8VF4z4459Qo18
37,PRIDE.,"Kendrick Lamar",517244,https://open.spotify.com/track/6IZvVAP7VPPnsGX6bvgkqg
38,"The Cure","Lady Gaga",516331,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
39,"Selfish (feat. Rihanna)",Future,512167,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
40,"Sign of the Times","Harry Styles",510309,https://open.spotify.com/track/5ELRkzdzz0HvGpMDlfZHkV
41,LUST.,"Kendrick Lamar",506803,https://open.spotify.com/track/06FCvd7rrRcF3DdvWH5Isp
42,FEEL.,"Kendrick Lamar",505518,https://open.spotify.com/track/2LTlO3NuNVN70lp2ZbVswF
43,Believer,"Imagine Dragons",504581,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
44,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",494442,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
45,Gyalchester,Drake,490318,https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi
46,"First Time",Kygo,489607,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
47,"Fake Love",Drake,481603,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
48,Swang,"Rae Sremmurd",480792,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
49,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",474786,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
50,"The Night We Met","Lord Huron",467322,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
51,Redbone,"Childish Gambino",454811,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
52,"Good Life (with G-Eazy & Kehlani)",G-Eazy,443949,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
53,Attention,"Charlie Puth",438223,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
54,Paris,"The Chainsmokers",425492,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
55,GOD.,"Kendrick Lamar",414202,https://open.spotify.com/track/5p3NP9mQblDsVJLdfNZJ3I
56,"Symphony (feat. Zara Larsson)","Clean Bandit",410141,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
57,FEAR.,"Kendrick Lamar",409373,https://open.spotify.com/track/23luOrEVHMfoX0AhfbQuS6
58,"Say You Won't Let Go","James Arthur",408409,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
59,"Bon Appétit","Katy Perry",400574,https://open.spotify.com/track/14oOKFGuXu8DqvOe1W8vao
60,"No Promises (feat. Demi Lovato)","Cheat Codes",396255,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
61,Rolex,"Ayo & Teo",393737,https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt
62,Closer,"The Chainsmokers",387308,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
63,"The One","The Chainsmokers",384311,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
64,Cold,"Maroon 5",381595,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
