,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",1954704,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,"Gucci Gang","Lil Pump",1317223,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
3,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",1286639,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
4,"I Fall Apart","Post Malone",1106402,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
5,"Candy Paint","Post Malone",1088651,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
6,"Ric Flair Drip (& Metro Boomin)",Offset,1040394,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
7,"No Limit",G-Eazy,963995,https://open.spotify.com/track/2Xqd0wUttjueBfdcltADOv
8,"Havana (feat. Young Thug)","Camila Cabello",931928,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
9,"Plain Jane","A$AP Ferg",921286,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
10,"Bank Account","21 Savage",898577,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
11,"Too Good At Goodbyes","Sam Smith",849130,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
12,"Him & I",G-Eazy,815790,https://open.spotify.com/track/3YU6vJbjYUG0tiJyXf9x5V
13,Wolves,"Selena Gomez",798101,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
14,"Let You Down",NF,796066,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
15,"All I Want for Christmas Is You","Mariah Carey",787650,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
16,MotorSport,Migos,778381,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q
17,Perfect,"Ed Sheeran",768380,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
18,"XO Tour Llif3","Lil Uzi Vert",760714,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
