,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",2143270,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,"Ghostface Killers","21 Savage",1268794,https://open.spotify.com/track/5u6vkDnOyaf8LsteDAj2ub
3,"Gucci Gang","Lil Pump",1252786,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
4,"Havana (feat. Young Thug)","Camila Cabello",1068541,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
5,"I Fall Apart","Post Malone",1057466,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
6,"Bank Account","21 Savage",957985,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
7,Wolves,"Selena Gomez",938562,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
8,1-800-273-8255,Logic,914061,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
9,"Ric Flair Drip (& Metro Boomin)",Offset,892297,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
10,MotorSport,Migos,827323,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q
11,"Young Dumb & Broke",Khalid,786675,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
12,"Bodak Yellow","Cardi B",780799,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
13,"Rap Saved Me","21 Savage",767180,https://open.spotify.com/track/0tdCy39PgWN8LFWu34ORn3
14,"I Get the Bag (feat. Migos)","Gucci Mane",751209,https://open.spotify.com/track/1XRgIKC5TPwo7nWGyKqgG0
15,"XO Tour Llif3","Lil Uzi Vert",730365,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
16,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",723927,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
17,"New Rules","Dua Lipa",722683,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
18,"Plain Jane","A$AP Ferg",718005,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
19,"Sorry Not Sorry","Demi Lovato",700084,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
20,"What Lovers Do","Maroon 5",696968,https://open.spotify.com/track/5SDCeGVT08a1RMXIBJF2O5
21,"Let You Down",NF,693971,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
22,"Too Good At Goodbyes - Edit","Sam Smith",676156,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
23,"Feel It Still","Portugal. The Man",673381,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
24,Congratulations,"Post Malone",672417,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
25,Silence,Marshmello,671719,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
26,"My Choppa Hate Niggas","21 Savage",662341,https://open.spotify.com/track/2D2w9943rsnJOGCrI4aMQp
27,Perfect,"Ed Sheeran",637355,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
28,Nightmare,Offset,601495,https://open.spotify.com/track/7LAhKXDNWwq3CmnFP3UIOP
29,HUMBLE.,"Kendrick Lamar",599655,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
30,Disrespectful,"21 Savage",596235,https://open.spotify.com/track/3oxCefEI6Tc6Z6t20J4IvH
31,"Bad At Love",Halsey,584785,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl
32,Unforgettable,"French Montana",572493,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
33,"BUTTERFLY EFFECT","Travis Scott",571455,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
34,"Mad Stalkers","21 Savage",568131,https://open.spotify.com/track/6HR1z11h0ROUlWP4Kx8Z7G
35,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",564411,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
36,"No Limit",G-Eazy,558077,https://open.spotify.com/track/2Xqd0wUttjueBfdcltADOv
37,"Roll in Peace (feat. XXXTENTACION)","Kodak Black",547807,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
38,"Jocelyn Flores",XXXTENTACION,542423,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
39,goosebumps,"Travis Scott",540271,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
40,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",525052,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
41,"Go Flex","Post Malone",522981,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
42,"Candy Paint","Post Malone",511909,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
43,"How Long","Charlie Puth",488037,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
44,"Rake It Up (feat. Nicki Minaj)","Yo Gotti",481942,https://open.spotify.com/track/4knL4iPxPOZjQzTUlELGSY
45,"Run Up the Racks","21 Savage",480196,https://open.spotify.com/track/7vbjH8laThXpcBXeLNPm3M
46,"Dusk Till Dawn - Radio Edit",ZAYN,458455,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
47,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",454238,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI
48,Location,Khalid,452416,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
49,"Glorious (feat. Skylar Grey)",Macklemore,451826,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
50,"Slippery (feat. Gucci Mane)",Migos,451076,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
51,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,434838,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
52,Stargazing,Kygo,433080,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
53,Thunder,"Imagine Dragons",431038,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
54,"Still Serving","21 Savage",423707,https://open.spotify.com/track/6m6Oy3F6GG0zRwH03rWmTv
55,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,421430,https://open.spotify.com/track/69Naniu2KjKjaQOBUagE8U
56,"Darth Vader","21 Savage",412314,https://open.spotify.com/track/7vg47qMIEdLfNdTE3WLf0T
57,"The Race",Tay-K,411140,https://open.spotify.com/track/5RCfvwDewu6p2x1mEI6smX
58,Transportin',"Kodak Black",389764,https://open.spotify.com/track/1WIZiOuNO3woKfdlSK2gNn
59,"Sauce It Up","Lil Uzi Vert",389506,https://open.spotify.com/track/1uL78kFWxhz3umTMWJu8n5
60,"Look What You Made Me Do","Taylor Swift",372597,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
61,"What Ifs (feat. Lauren Alaina)","Kane Brown",371229,https://open.spotify.com/track/7zVCrzzEJU7u24sbJPXA5W
62,Thriller,"Michael Jackson",361120,https://open.spotify.com/track/3S2R0EVwBSAVMd5UMgKTL0
63,"Mi Gente","J Balvin",359834,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
64,"LOVE. FEAT. ZACARI.","Kendrick Lamar",356291,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
65,Questions,"Chris Brown",350701,https://open.spotify.com/track/3ojTJaonfkL96iIWa47SU3
66,"Mi Gente (feat. Beyoncé)","J Balvin",348667,https://open.spotify.com/track/7fwXWKdDNI5IutOMc5OKYw
67,Magnolia,"Playboi Carti",347323,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
68,Believer,"Imagine Dragons",340329,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
69,"I Miss You (feat. Julia Michaels)","Clean Bandit",340133,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
70,"Relationship (feat. Future)","Young Thug",337966,https://open.spotify.com/track/25oOaleife6E2MIKmFkPvg
71,"Love Galore (feat. Travis Scott)",SZA,330870,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs
72,DNA.,"Kendrick Lamar",329684,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
73,"It's A Vibe","2 Chainz",328541,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6
74,"White Iverson","Post Malone",326729,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
