,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,HUMBLE.,"Kendrick Lamar",1925904,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
2,"Despacito - Remix","Luis Fonsi",1895067,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
3,"I'm the One","DJ Khaled",1667586,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
4,"XO TOUR Llif3","Lil Uzi Vert",1570505,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
5,Congratulations,"Post Malone",1116479,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
6,"Mask Off",Future,1095066,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
7,DNA.,"Kendrick Lamar",1046427,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
8,Unforgettable,"French Montana",987153,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
9,1-800-273-8255,Logic,925667,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
10,Location,Khalid,880795,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
11,"Stay (with Alessia Cara)",Zedd,842585,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
12,"That's What I Like","Bruno Mars",803394,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
13,Redbone,"Childish Gambino",781157,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
14,"iSpy (feat. Lil Yachty)",KYLE,772195,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
15,Malibu,"Miley Cyrus",752690,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
16,Passionfruit,Drake,737648,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
17,goosebumps,"Travis Scott",735009,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
18,"LOVE. FEAT. ZACARI.","Kendrick Lamar",728630,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
19,"Shape of You","Ed Sheeran",688549,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
20,"Body Like A Back Road","Sam Hunt",685392,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
21,"Tunnel Vision","Kodak Black",684007,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
22,Attention,"Charlie Puth",679969,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
23,Portland,Drake,656723,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
24,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",653581,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
25,"Bad Liar","Selena Gomez",652331,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
26,Magnolia,"Playboi Carti",651724,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
27,Issues,"Julia Michaels",648350,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
28,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",641208,https://open.spotify.com/track/3LnOF5n1GOs01siYZXzS3p
29,"Now Or Never",Halsey,640145,https://open.spotify.com/track/1mDGDb2fUmUMdqV3tb8VKQ
30,"Strip That Down","Liam Payne",630225,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
31,"Slippery (feat. Gucci Mane)",Migos,618532,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
32,"There for You","Martin Garrix",589739,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
33,"There's Nothing Holdin' Me Back","Shawn Mendes",588146,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
34,Thunder,"Imagine Dragons",584907,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
35,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",565576,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
36,"It Ain't Me (with Selena Gomez)",Kygo,557412,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
37,"Sign of the Times","Harry Styles",551132,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
38,"Rollin (feat. Future & Khalid)","Calvin Harris",544563,https://open.spotify.com/track/3FDrI0FLKzrYQiWxPhqV2W
39,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",538968,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
40,"do re mi",blackbear,538736,https://open.spotify.com/track/6CUBgX8bXC5YQCkdgRHqyg
41,"Slow Hands","Niall Horan",538406,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
42,"Mask Off (feat. Kendrick Lamar) - Remix",Future,536381,https://open.spotify.com/track/6DB2KOEwHnjkgEnBt5SdeJ
43,"Something Just Like This","The Chainsmokers",535067,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
44,"Bounce Back","Big Sean",534420,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
45,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",522671,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
46,Gyalchester,Drake,519287,https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi
47,"Look At Me!",XXXTENTACION,502464,https://open.spotify.com/track/4ARPvK8DHLwt4oX65ZAFMw
48,T-Shirt,Migos,489281,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
49,ELEMENT.,"Kendrick Lamar",477470,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
50,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,471229,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
51,"BUTTERFLY EFFECT","Travis Scott",437526,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
52,Believer,"Imagine Dragons",424911,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
53,"No Promises (feat. Demi Lovato)","Cheat Codes",421132,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
54,"The Cure","Lady Gaga",419415,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
55,"First Time",Kygo,413648,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
56,wokeuplikethis*,"Playboi Carti",413496,https://open.spotify.com/track/59J5nzL1KniFHnU120dQzt
57,Swang,"Rae Sremmurd",413448,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
58,"Crying in the Club","Camila Cabello",411681,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
59,"Fake Love",Drake,404678,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
60,"Met Gala (feat. Offset)","Gucci Mane",400942,https://open.spotify.com/track/2XaInsPPUkZRkY4uFJ3AHK
61,"Selfish (feat. Rihanna)",Future,396486,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
62,"Most Girls","Hailee Steinfeld",387857,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ
63,"Say You Won't Let Go","James Arthur",383338,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
64,"4 AM","2 Chainz",372385,https://open.spotify.com/track/3CAqajKXtDoxesAeTEPdb3
65,"Symphony (feat. Zara Larsson)","Clean Bandit",358467,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
66,"The Night We Met","Lord Huron",357707,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
67,Closer,"The Chainsmokers",347807,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
68,Rolex,"Ayo & Teo",343406,https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt
69,"Broccoli (feat. Lil Yachty)","Shelley FKA DRAM",340408,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
70,"Swish Swish","Katy Perry",332605,https://open.spotify.com/track/3VRk65lHSwqd90TAkQqhvB
71,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",326220,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
72,Starboy,"The Weeknd",326098,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
73,Strangers,Halsey,325930,https://open.spotify.com/track/4C5ewaZ05vyXM23jFJdwd4
74,Mama,"Jonas Blue",322452,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
