,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Look What You Made Me Do","Taylor Swift",1719876,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
2,1-800-273-8255,Logic,1413242,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
3,"XO Tour Llif3","Lil Uzi Vert",1369185,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
4,"Bank Account","21 Savage",1320772,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s
5,"Bodak Yellow","Cardi B",1231116,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
6,"Jocelyn Flores",XXXTENTACION,1105110,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
7,Unforgettable,"French Montana",1048598,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
8,"Young Dumb & Broke",Khalid,1044563,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
9,"Sorry Not Sorry","Demi Lovato",1009557,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
10,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,961494,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
11,Silence,Marshmello,956423,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
12,HUMBLE.,"Kendrick Lamar",948734,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
13,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",880810,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
14,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",872687,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
15,"Mi Gente","J Balvin",846844,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
16,"BUTTERFLY EFFECT","Travis Scott",817980,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
17,Congratulations,"Post Malone",785037,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
